"","ReferenceID","Block","Lot","BuildingAddress","NoticeDate","Neighborhood","PoliceDistrict","CouncilDistrict","Location","Latitude","Longitude"
"1","0002 019 031016","0002","019","1909 W NORTH AVE",2016-03-10,"EASTERWOOD","WESTERN","7","(39.30952601, -76.64848892)","39.30952601"," -76.64848892"
"2","0007 057 031116","0007","057","1734 APPLETON ST",2016-03-11,"EASTERWOOD","WESTERN","7","(39.30856758, -76.64921157)","39.30856758"," -76.64921157"
"3","0125 012 030816","0125","012","522 N CAREY ST",2016-03-08,"HARLEM PARK","WESTERN","9","(39.29482152, -76.63877572)","39.29482152"," -76.63877572"
"4","0151 009 030716","0151","009","317 N GILMOR ST",2016-03-07,"FRANKLIN SQUARE","WESTERN","9","(39.29261888, -76.64231678)","39.29261888"," -76.64231678"
"5","0232 032 031116","0232","032","1324 W LOMBARD ST",2016-03-11,"UNION SQUARE","SOUTHERN","9","(39.28680988, -76.63888529)","39.28680988"," -76.63888529"
"6","0235 029 031116","0235","029","45 S ARLINGTON AVE",2016-03-11,"HOLLINS MARKET","SOUTHERN","9","(39.28713548, -76.63498941)","39.28713548"," -76.63498941"
"7","0275 060 030716","0275","060","319 S MONROE ST",2016-03-07,"CARROLLTON RIDGE","SOUTHERN","9","(39.28383911, -76.64647246)","39.28383911"," -76.64647246"
"8","0599 008 031116","0599","008","235 PARK AVE",2016-03-11,"DOWNTOWN","CENTRAL","11","(39.29280154, -76.6178644)","39.29280154"," -76.6178644"
"9","0767 117 030816","0767","117","1329 SARGEANT ST",2016-03-08,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.28035426, -76.63645611)","39.28035426"," -76.63645611"
"10","0779 002 030716","0779","002","1203 WASHINGTON BLVD",2016-03-07,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.28150228, -76.63396506)","39.28150228"," -76.63396506"
"11","0779 026 030816","0779","026","1253 WASHINGTON BLVD",2016-03-08,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.280852, -76.6348142)","39.280852"," -76.6348142"
"12","0801 019 030816","0801","019","1136 W HAMBURG ST",2016-03-08,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.28010139, -76.63055854)","39.28010139"," -76.63055854"
"13","0801 066 031016","0801","066","1121 NANTICOKE ST",2016-03-10,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.28058109, -76.63071342)","39.28058109"," -76.63071342"
"14","0855 008 030816","0855","008","622 ARCHER ST",2016-03-08,"WASHINGTON VILLAGE/PIGTOWN","SOUTHERN","10","(39.28160587, -76.63017981)","39.28160587"," -76.63017981"
"15","1020 059 030916","1020","059","1710 CLARKSON ST",2016-03-09,"SOUTH BALTIMORE","SOUTHERN","11","(39.27018816, -76.61614134)","39.27018816"," -76.61614134"
"16","1126 056 030716","1126","056","1532 N BOND ST",2016-03-07,"OLIVER","EASTERN","12","(39.30815721, -76.59707552)","39.30815721"," -76.59707552"
"17","1454 029 030716","1454","029","1816 N MILTON AVE",2016-03-07,"BROADWAY EAST","EASTERN","13","(39.31174375, -76.58335172)","39.31174375"," -76.58335172"
"18","1477 047 031116","1477","047","1516 RUTLAND AVE",2016-03-11,"BROADWAY EAST","EASTERN","12","(39.30822909, -76.59304661)","39.30822909"," -76.59304661"
"19","1500 011 030716","1500","011","2131 E OLIVER ST",2016-03-07,"BROADWAY EAST","EASTERN","13","(39.30757991, -76.58751523)","39.30757991"," -76.58751523"
"20","1658 069 030916","1658","069","530 N BELNORD AVE",2016-03-09,"MCELDERRY PARK","SOUTHEASTERN","13","(39.29769466, -76.57887137)","39.29769466"," -76.57887137"
"21","1661 009 030716","1661","009","3017 MCELDERRY ST",2016-03-07,"ELLWOOD PARK/MONUMENT","SOUTHEASTERN","13","(39.29784806, -76.57460498)","39.29784806"," -76.57460498"
"22","1709 014 030816","1709","014","127 N MILTON AVE",2016-03-08,"PATTERSON PARK NEIGHBORHOOD","SOUTHEASTERN","1","(39.29373565, -76.58171453)","39.29373565"," -76.58171453"
"23","1716 037 030816","1716","037","108 N CLINTON ST",2016-03-08,"PATTERSON PARK NEIGHBORHOOD","SOUTHEASTERN","1","(39.29380306, -76.57120245)","39.29380306"," -76.57120245"
"24","0001 003 012512","0001","003","2041 W NORTH AVE",2012-01-25,"EASTERWOOD","WESTERN","7","(39.30941765, -76.65104057)","39.30941765"," -76.65104057"
"25","0001 006 120214","0001","006","2035 W NORTH AVE",2014-12-02,"EASTERWOOD","WESTERN","7","(39.30942276, -76.65089166)","39.30942276"," -76.65089166"
"26","0001 007 020113","0001","007","2033 W NORTH AVE",2013-02-01,"EASTERWOOD","WESTERN","7","(39.30942443, -76.65084103)","39.30942443"," -76.65084103"
"27","0001 008 070115","0001","008","2031 W NORTH AVE",2015-07-01,"EASTERWOOD","WESTERN","7","(39.30942603, -76.65079304)","39.30942603"," -76.65079304"
"28","0001 015 012816","0001","015","2017 W NORTH AVE",2016-01-28,"EASTERWOOD","WESTERN","7","(39.30943944, -76.65044524)","39.30943944"," -76.65044524"
"29","0001 026 121410","0001","026","1810 N PAYSON ST",2010-12-14,"EASTERWOOD","WESTERN","7","(39.30902061, -76.65010741)","39.30902061"," -76.65010741"
"30","0001 028 020808","0001","028","1806 N PAYSON ST",2008-02-08,"EASTERWOOD","WESTERN","7","(39.30894358, -76.65010312)","39.30894358"," -76.65010312"
"31","0001 029 120710","0001","029","1804 N PAYSON ST",2010-12-07,"EASTERWOOD","WESTERN","7","(39.30890577, -76.650101)","39.30890577"," -76.650101"
"32","2307A019 031116","2307A","019","2437 W NORTH AVE",2016-03-11,"COPPIN HEIGHTS/ASH-CO-EAST","WESTERN","7","(39.30918947, -76.65702099)","39.30918947"," -76.65702099"
"33","2319 013 031116","2319","013","1624 MORELAND AVE",2016-03-11,"COPPIN HEIGHTS/ASH-CO-EAST","WESTERN","7","(39.30688496, -76.6560888)","39.30688496"," -76.6560888"
"34","2367 008 031116","2367","008","2514 RIGGS AVE",2016-03-11,"BRIDGEVIEW/GREENLAWN","WESTERN","9","(39.300868, -76.65722459)","39.300868"," -76.65722459"
"35","2402 023 031016","2402","023","2741 W NORTH AVE",2016-03-10,"COPPIN HEIGHTS/ASH-CO-EAST","WESTERN","7","(39.30894488, -76.66247273)","39.30894488"," -76.66247273"
